"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Drápuhlíð";105;"Hæðir";48500000;4;132,3;"2016-07-12";366591
"2";"Svölutjörn";260;"Par/Raðhús";38000000;4;151,3;"2016-07-12";251157
"3";"Sölkugata";270;"Par/Raðhús";59900000;5;202,5;"2016-07-12";295802
"4";"Faxabraut";230;"Hæðir";19500000;3;80;"2016-07-12";243750
"5";"Berjarimi";112;"Fjölbýli";29000000;3;86,4;"2016-07-12";335648
"6";"Garðabraut";300;"Atvinnuhús";54900000;10;523;"2016-07-12";104971
"7";"Klukkuvellir";221;"Fjölbýli";31900000;3;80,2;"2016-07-12";397756
"8";"Heiðmörk";810;"Par/Raðhús";29700000;3;116;"2016-07-12";256034
"9";"Laugarbrekka";640;"Hæðir";25900000;4;169,3;"2016-07-12";152983
"10";"Vogagerði";190;"Einbýli";30000000;5;204,2;"2016-07-12";146915
"11";"Stuttárbotnar";311;"Sumarhús";12700000;3;58,5;"2016-07-12";217094
"12";"Holtsvegur";210;"Fjölbýli";59000000;4;139,1;"2016-07-12";424155
"13";"Hamrakór";203;"Einbýli";59900000;5;228,5;"2016-07-12";262144
"15";"Æsufell Hárgreiðslustofan Hársetrið";111;"Atvinnuhús";3000000;3;48,2;"2016-07-12";62241
"19";"Miklabraut";105;"Fjölbýli";44900000;4;117,7;"2016-07-12";381478
"20";"Hjarðarhagi";107;"Fjölbýli";35900000;4;84,5;"2016-07-12";424852
"21";"Vitastígur";220;"Fjölbýli";28900000;3;68,7;"2016-07-12";420670
"23";"Gráhella";801;"Sumarhús";8500000;2;27,6;"2016-07-12";307971
"25";"Heiðmörk";810;"Par/Raðhús";37000000;0;127,1;"2016-07-12";291109
