"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Efra-sel";845;"Jörð/Lóð";149000000;0;87000;"2016-12-27";1713
"3";"Laugarnesvegur";105;"Fjölbýli";30000000;2;59,5;"2016-12-27";504202
"5";"Sólheimar";104;"Hæðir";55500000;5;162,9;"2016-12-27";340700
"6";"Sólheimar";104;"Hæðir";55500000;6;162,9;"2016-12-27";340700
"7";"Ásbúð";210;"Einbýli";74900000;7;243,6;"2016-12-27";307471
"8";"Sólheimar ";104;"Hæðir";55500000;6;162,9;"2016-12-27";340700
"9";"Hverafold";112;"Atvinnuhús";18500000;3;85,3;"2016-12-27";216882
"10";"Langamýri";800;"Par/Raðhús";30900000;6;161,4;"2016-12-27";191450
"12";"Koðrabúðir";801;"Jörð/Lóð";1900000;0;4047;"2016-12-27";469
"13";"Klausturhólar";801;"Jörð/Lóð";1800000;0;10000;"2016-12-27";180
"14";"Klausturhólar";801;"Sumarhús";28900000;4;91;"2016-12-27";317582
"15";"Klapparhólsbraut";801;"Sumarhús";32000000;3;104,2;"2016-12-27";307102
"20";"Hulduhóll";820;"Par/Raðhús";22500000;0;140,8;"2016-12-27";159801
"21";"Holtabraut";801;"Einbýli";28500000;5;235,5;"2016-12-27";121019
"23";"Hellugljúfur";816;"Jörð/Lóð";1500000;0;5331;"2016-12-27";281
"24";"Hellugljúfur";816;"Jörð/Lóð";1500000;0;5184;"2016-12-27";289
"25";"Hellugljúfur";816;"Jörð/Lóð";1500000;0;5425;"2016-12-27";276
