"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Blöndubakki";109;"Fjölbýli";26500000;4;87;"2016-07-13";304598
"4";"Hamraborg";200;"Fjölbýli";33200000;3;82,3;"2016-07-13";403402
"5";"Öndverðarnes";801;"Sumarhús";15900000;3;45,1;"2016-07-13";352550
"8";"Ásabyggð";845;"Sumarhús";15000000;3;51,9;"2016-07-13";289017
"9";"Arnarsmári";201;"Fjölbýli";46900000;4;138,8;"2016-07-13";337896
"10";"Fífudalur";260;"Einbýli";8000000;6;271,5;"2016-07-13";29466
"11";"Stóragerði";108;"Fjölbýli";34900000;4;121,3;"2016-07-13";287716
"12";"Illugagata-10, eh";900;"Fjölbýli";25950000;6;158;"2016-07-13";164241
"13";"Björtusalir";201;"Par/Raðhús";68900000;6;189,2;"2016-07-13";364165
"14";"Brennubyggð";311;"Sumarhús";17900000;4;79,4;"2016-07-13";225441
"15";"Lokastígur";801;"Jörð/Lóð";2950000;0;9043;"2016-07-13";326
"17";"Suðurgata";801;"Jörð/Lóð";12900000;0;10392;"2016-07-13";1241
"20";"Vestursíða";603;"Fjölbýli";20900000;3;86,1;"2016-07-13";242741
"22";"Breiðbraut";230;"Par/Raðhús";25900000;4;169,9;"2016-07-13";152443
"23";"Safamýri";108;"Fjölbýli";24900000;2;49,9;"2016-07-13";498998
"24";"Norðurvangur";220;"Einbýli";81900000;11;272,7;"2016-07-13";300330
"25";"Skólagerði";200;"Par/Raðhús";56000000;6;181,6;"2016-07-13";308370
