"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Álftamýri ";108;"Fjölbýli";29900000;3;73,6;"2016-09-23";406250
"2";"Brekkubraut";230;"Fjölbýli";38800000;5;185,5;"2016-09-23";209164
"3";"Skógarás";221;"Einbýli";85000000;6;301,6;"2016-09-23";281830
"4";"Sundlaugavegur";105;"Fjölbýli";44900000;4;123,3;"2016-09-23";364152
"5";"Lindargata";101;"Fjölbýli";29900000;2;51,2;"2016-09-23";583984
"6";"Bræðraborgarstígur";101;"Fjölbýli";23900000;2;54,7;"2016-09-23";436929
"7";"Hyrjarhöfði";110;"Atvinnuhús";62900000;0;361,8;"2016-09-23";173853
"8";"Birkimelur";107;"Fjölbýli";38900000;3;87,2;"2016-09-23";446101
"9";"Eyjafell";276;"Sumarhús";23900000;3;58,4;"2016-09-23";409247
"11";"Þelamörk ";801;"Par/Raðhús";37000000;4;120;"2016-09-23";308333
"14";"Miðengi";800;"Einbýli";30500000;5;177,8;"2016-09-23";171541
"15";"Skipholt";105;"Fjölbýli";29000000;2;74,8;"2016-09-23";387701
"16";"Skipholt";105;"Fjölbýli";29000000;2;79,4;"2016-09-23";365239
"17";"Bæjargil";210;"Einbýli";59000000;6;223,8;"2016-09-23";263628
"18";"Stóragerði";108;"Fjölbýli";34900000;3;83,7;"2016-09-23";416965
"19";"Baugalda";850;"Par/Raðhús";27900000;4;145,9;"2016-09-23";191227
"20";"Álfkonuhvarf";203;"Fjölbýli";35900000;3;93,7;"2016-09-23";383138
"21";"Gullengi";112;"Fjölbýli";26900000;2;65,9;"2016-09-23";408194
"23";"Tjaldhólar";800;"Einbýli";49900000;6;208,4;"2016-09-23";239443
"24";"Heiðarból";230;"Einbýli";49500000;7;197,8;"2016-09-23";250253
