"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Kirkjustétt";113;"Fjölbýli";37800000;4;106,5;"2016-12-02";354930
"2";"Laufengi";112;"Fjölbýli";37500000;4;107,3;"2016-12-02";349487
"4";"Lyngás";210;"Fjölbýli";48900000;4;114,4;"2016-12-02";427448
"5";"Kríuhólar";111;"Fjölbýli";35200000;4;131,9;"2016-12-02";266869
"6";"Vogatunga ";270;"Einbýli";51000000;6;210,9;"2016-12-02";241821
"7";"Hofteigur";105;"Fjölbýli";25500000;2;21,1;"2016-12-02";1208531
"10";"Brákarbraut ";310;"Atvinnuhús";17000000;0;90,1;"2016-12-02";188679
"11";"Brákarbraut ";310;"Atvinnuhús";11900000;0;75,2;"2016-12-02";158245
"12";"Holtsvegur";210;"Fjölbýli";69900000;3;100;"2016-12-02";699000
"13";"Holtsvegur";210;"Fjölbýli";47900000;4;112,5;"2016-12-02";425778
"14";"Friggjarbrunnur";113;"Fjölbýli";57800000;5;154,6;"2016-12-02";373868
"15";"Friggjarbrunnur";113;"Fjölbýli";49900000;4;130;"2016-12-02";383846
"16";"Holtsvegur";210;"Fjölbýli";53900000;4;154;"2016-12-02";350000
"17";"Vesturgata";300;"Einbýli";42000000;10;366,4;"2016-12-02";114629
"19";"Sóleyjarimi";112;"Fjölbýli";39900000;3;99,5;"2016-12-02";401005
"20";"Stekkholt";800;"Einbýli";37900000;5;202,6;"2016-12-02";187068
"21";"Garðatorg";210;"Fjölbýli";39900000;2;79,4;"2016-12-02";502519
"22";"Garðatorg";210;"Fjölbýli";69900000;4;137,4;"2016-12-02";508734
"23";"Hrólfsskálamelur";170;"Fjölbýli";74900000;3;149,6;"2016-12-02";500668
"25";"Garðatorg ";210;"Fjölbýli";74900000;4;138,5;"2016-12-02";540794
