"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Beykidalur";260;"Fjölbýli";31900000;3;121,2;"2016-12-14";263201
"2";"Langirimi";112;"Atvinnuhús";23500000;1;95,7;"2016-12-14";245559
"4";"Bergstaðastræti ";101;"Einbýli";48900000;5;99,4;"2016-12-14";491952
"5";"Naustabryggja ";110;"Fjölbýli";34900000;2;69,5;"2016-12-14";502158
"6";"Fífusel";109;"Fjölbýli";34900000;4;86,8;"2016-12-14";402074
"7";"Laxatunga";270;"Jörð/Lóð";17000000;0;663;"2016-12-14";25641
"8";"Vogatunga";270;"Jörð/Lóð";46000000;0;1974,7;"2016-12-14";23295
"9";"Vogatunga";270;"Jörð/Lóð";37000000;0;1644,7;"2016-12-14";22497
"12";"Laxatunga";270;"Jörð/Lóð";18000000;0;900;"2016-12-14";20000
"13";"Funahöfði";110;"Atvinnuhús";86000000;19;377,2;"2016-12-14";227996
"14";"Álhella";222;"Atvinnuhús";550000000;3;696,4;"2016-12-14";789776
"15";"Miðstræti";900;"Einbýli";20800000;5;102;"2016-12-14";203922
"16";"Holtagata";600;"Einbýli";25000000;3;92;"2016-12-14";271739
"17";"Urðarholt";270;"Atvinnuhús";18900000;2;49,2;"2016-12-14";384146
"18";"Urðarholt";270;"Atvinnuhús";16900000;0;41,9;"2016-12-14";403341
"19";"Urðarholt";270;"Atvinnuhús";17900000;2;49,6;"2016-12-14";360887
"20";"Öldugata ";101;"Fjölbýli";39900000;3;72,2;"2016-12-14";552632
"22";"Miðkriki";861;"Einbýli";30000000;6;191,6;"2016-12-14";156576
"23";"Mikligarður shl.";601;"Par/Raðhús";13500000;4;146,2;"2016-12-14";92339
"24";"Grandavegur";107;"Fjölbýli";56500000;3;119,6;"2016-12-14";472408
"25";"Grandavegur";107;"Fjölbýli";52000000;3;110,3;"2016-12-14";471442
