"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"nyskrad";"fermverd"
"1";"Brekkutröð";601;"Einbýli";37000000;5;162,6;"2016-11-18";227552
"2";"Miðstræti";101;"Hæðir";73900000;6;119,8;"2016-11-18";616861
"3";"Rauðagerði";108;"Hæðir";49800000;4;128,8;"2016-11-18";386646
"4";"Melbraut";250;"Einbýli";27000000;7;204,4;"2016-11-18";132094
"5";"Birkiholt";225;"Fjölbýli";34500000;3;95;"2016-11-18";363158
"6";"Norðurtröð";800;"Hesthús";4750000;0;259,5;"2016-11-18";18304
"7";"Kaldasel";109;"Par/Raðhús";68900000;9;316,7;"2016-11-18";217556
"8";"Greniteigur";230;"Hæðir";23900000;5;116,4;"2016-11-18";205326
"9";"Einidalur";260;"Einbýli";53000000;6;221;"2016-11-18";239819
"10";"Seljaland";108;"Fjölbýli";155000;2;48,9;"2016-11-18";3170
"11";"Ljósheimar";104;"Fjölbýli";38500000;4;101;"2016-11-18";381188
"12";"Garðatorg";210;"Fjölbýli";53900000;4;100,1;"2016-11-18";538462
"13";"Safamýri";108;"Fjölbýli";43900000;4;102,2;"2016-11-18";429550
"14";"Andrésbrunnur";113;"Fjölbýli";47900000;4;127;"2016-11-18";377165
"15";"Framnesvegur";101;"Par/Raðhús";48900000;4;106,6;"2016-11-18";458724
"16";"Álfatún";200;"Fjölbýli";31900000;2;62,1;"2016-11-18";513688
"17";"Vesturberg";111;"Fjölbýli";27900000;3;73,2;"2016-11-18";381148
"18";"Vesturgata";101;"Fjölbýli";48900000;4;80,9;"2016-11-18";604450
"19";"Grandavegur - Opið Hús";107;"Fjölbýli";56000000;4;123,9;"2016-11-18";451977
"20";"Grandavegur";107;"Fjölbýli";44900000;3;111,4;"2016-11-18";403052
"21";"Dalakur";210;"Einbýli";122000000;6;261;"2016-11-18";467433
"22";"Holtsvegur ";210;"Fjölbýli";44500000;3;111,1;"2016-11-18";400540
"23";"Holtsvegur";210;"Fjölbýli";45500000;3;111,1;"2016-11-18";409541
"24";"Holtsvegur";210;"Fjölbýli";59900000;4;155;"2016-11-18";386452
"25";"Holtsvegur";210;"Fjölbýli";60400000;4;154,2;"2016-11-18";391699
